ENTITY_NAME,TYPE_NAMES,Rank Type Summary Word
Chanel,Privately Held Companies Of France|Clothing Companies Of France|Companies Based In Paris|Company|,1|4|5|2
Greenville,Cities In South Carolina|Populated Places In Greenville County, South Carolina|Area|Urban Area|County Seats In South Carolina|,3|1|5|4|2
Mindy McCready,American Country Singers|B N A Records Artists|Singer|American Female Singers|Music Group|,1|5|4|2|3
Wayne Gretzky,Ice Hockey Player|National Hockey League Players With100 Point Seasons|National Hockey League Players With50 Goal Seasons|Ice Hockey Players At The 1998 Winter Olympics|National Hockey League Players With Retired Numbers|,4|1|2|5|3
San Diego Public Library,Libraries In San Diego County, California|Library|Carnegie Libraries In California|,1|2|5
Noam Chomsky,American Media Critics|American Anti% E2%80%93 Iraq War Activists|Consciousness Researchers And Theorists|American Anti% E2%80%93 Vietnam War Activists|American Political Philosophers|,4|2|1|3|5
Someone like You,2011 Singles|Single|,1|2
Pennsylvania State University,Land-grant Universities And Colleges|Universities And Colleges In Centre County, Pennsylvania|College Or University|University|,1|2|3|4
Columbia University,Universities And Colleges In Manhattan|College Or University|Educational Institution|University|,1|3|5|2
National Park Service,Federal Law Enforcement Agencies Of The United States|Government Agencies Established In 1916|Law Enforcement Agency|Government Agency|Agency|,1|2|5|3|4
Kauai,Islands Of Hawaii|Island|,2|1
Chicago Blackhawks,Hockey Team|Sports Team|Sports Clubs Established In 1926|,1|2|4
Orson Scott Card,American Science Fiction Writers|Authors Of Books About Writing Fiction|American Fantasy Writers|American Latter Day Saint Writers|American Mormon Missionaries|,1|2|3|4|5
MocoSpace,Web Site|Web Page|Community Websites|,1|2|3
Chicago Public Library,Library|,1
Taco Bell,Fast-food Chains Of Canada|Fast-food Chains Of The United States|Companies Based In Irvine, California|,2|3|1
Kristen Stewart,American Child Actors|American People Of Australian Descent|American Television Actors|American Film Actors|,2|3|4|1
Lee Thompson Young,American Child Actors|Actor|African- American Actors|American Television Actors|American Film Actors|,3|5|2|1|4
Little Rock,County Seat|County Seats In Arkansas|City|,1|2|3
Iran,Persian-speaking Countries And Territories|Persian Gulf Countries|Western Asian Countries|Country|,2|3|1|4
Wells College,College Or University|Universities And Colleges In New York|Yago Permanently Located Entity|Former Women's Universities And Colleges In The United States|Educational Institution|,3|1|4|2|5
John F. Kennedy,Democratic Party Presidents Of The United States|Assassinated United States Presidents|Military Officer|President|Presidents Of The United States|,3|2|4|5|1
New Orleans Saints,American Football Teams In Louisiana|Sports Team|Football Team|National Football League Teams|American Football Teams In New Orleans, Louisiana|,3|5|4|2|1
Georgia Bulldogs football,Sports Clubs Established In 1892|Association|,2|1
The Firehouse Restaurant,Restaurant|Buildings And Structures In Sacramento, California|Restaurants Established In 1959|Yago Permanently Located Entity|Restaurants In California|,1|2|4|3|5
Stephen King,American Novelists|American Short Story Writers|American Schoolteachers|Authors Of Books About Writing Fiction|American Horror Writers|,3|5|4|1|2
Ford Focus Electric,Car|Battery Electric Cars|Motor Vehicle|Electric|Ford Concept Vehicles|,5|1|4|3|2
Seattle Mariners,Baseball Team|Sports Team|Sports Clubs Established In 1977|Major League Baseball Teams|Soccer Club|,2|4|3|1|5
Michael Clarke Duncan,Actor|American Voice Actors|African American Television Actors|African American Voice Actors|African American Film Actors|,5|2|4|1|3
Philadelphia Union,Professional Soccer Teams In Pennsylvania|Sports Team|Soccer Clubs In Philadelphia, Pennsylvania|Pennsylvania Soccer Teams|Soccer Club|,1|5|4|2|3
Los Angeles,Populated Places In The United States With Hispanic Plurality Populations|Incorporated Cities And Towns In California|City|,2|1|3
Keeping Up with the Kardashians,Television Show|Television|,1|2
United States Department of Homeland Security,Government Organization|Government Agency|,2|1
Kim Jong Un,North Korean Generals|Current National Leaders|Children Of National Leaders|Leader|North Korean Expatriates In Switzerland|,5|3|2|1|4
New York Knicks,National Basketball Association Teams|Sports Team|Basketball Clubs Established In 1946|Team|,1|3|2|5
Boston Marathon,Marathons In The United States|Event|Marathon|Annual Events In Boston, Massachusetts|,3|4|2|1
Nicaragua,States And Territories Established In 1821|Countries Bordering The Pacific Ocean|Central American Countries|Caribbean Countries|Country|,4|1|2|3|5
